,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,owns_car,tenure,state,property_valuation,age,bike_purchases
849,Male,34,Financial Services,Mass Customer,Yes,2.0,VIC,9,21.0,6
850,Male,44,IT,High Net Worth,No,19.0,NSW,10,51.0,3
851,Female,92,Financial Services,Mass Customer,Yes,3.0,NSW,8,32.0,9
852,Male,31,Manufacturing,Mass Customer,Yes,9.0,QLD,5,37.0,3
853,Female,58,N/A,Mass Customer,No,12.0,NSW,10,42.0,4
854,Female,11,N/A,High Net Worth,Yes,10.0,NSW,10,56.0,3
855,Female,82,N/A,High Net Worth,No,15.0,QLD,5,40.0,3
856,Female,59,Property,Mass Customer,Yes,11.0,NSW,12,54.0,5
857,Male,11,Property,Mass Customer,No,17.0,VIC,10,42.0,5
858,Male,20,Financial Services,Mass Customer,No,18.0,QLD,8,53.0,3
859,Female,53,Health,Mass Customer,No,11.0,NSW,10,45.0,7
860,Male,55,Manufacturing,High Net Worth,No,1.0,NSW,4,22.0,8
861,Female,62,Manufacturing,Mass Customer,No,10.0,QLD,1,56.0,5
862,Male,46,Retail,Affluent Customer,Yes,10.0,QLD,9,53.0,5
863,Female,55,Health,Mass Customer,Yes,15.0,NSW,11,46.0,4
864,Male,21,Health,High Net Worth,Yes,9.0,VIC,12,39.0,5
865,Male,97,IT,Mass Customer,No,16.0,NSW,8,36.0,7
866,Female,13,Financial Services,High Net Worth,Yes,9.0,NSW,9,49.0,8
867,Female,58,N/A,Mass Customer,Yes,12.0,NSW,9,54.0,3
868,Female,25,N/A,Mass Customer,No,15.0,NSW,8,42.0,4
869,Female,25,Manufacturing,Mass Customer,No,11.0,NSW,10,51.0,7
870,Female,53,Financial Services,Affluent Customer,No,16.0,NSW,8,43.0,1
871,Female,42,Health,Affluent Customer,Yes,12.0,NSW,7,57.0,6
872,Male,48,Manufacturing,Mass Customer,Yes,5.0,VIC,8,30.0,4
873,Female,13,Retail,Mass Customer,Yes,16.0,QLD,5,45.0,4
874,Female,37,Retail,Mass Customer,No,18.0,NSW,3,31.0,9
875,Male,46,Financial Services,Mass Customer,No,14.0,QLD,5,59.0,9
876,Female,51,N/A,High Net Worth,Yes,11.0,QLD,7,46.0,4
877,Female,41,Manufacturing,Affluent Customer,No,12.0,QLD,3,42.0,8
878,Male,73,Financial Services,High Net Worth,Yes,3.0,VIC,9,21.0,9
879,Male,51,Property,High Net Worth,Yes,17.0,NSW,9,41.0,7
880,Female,86,Financial Services,Affluent Customer,Yes,17.0,VIC,8,40.0,7
881,Female,77,N/A,High Net Worth,Yes,8.0,VIC,7,60.0,5
882,Male,50,Financial Services,Mass Customer,No,14.0,NSW,10,34.0,2
883,Male,62,Property,Affluent Customer,No,3.0,NSW,8,45.0,5
884,Male,37,Retail,Mass Customer,Yes,19.0,NSW,10,52.0,7
885,Female,67,Financial Services,Mass Customer,No,1.0,NSW,7,19.0,4
886,Male,73,Manufacturing,Affluent Customer,Yes,2.0,VIC,8,21.0,5
887,Female,17,Entertainment,Mass Customer,No,7.0,NSW,5,36.0,5
888,Female,18,N/A,Affluent Customer,No,8.0,NSW,8,29.0,4
889,Male,63,Financial Services,Mass Customer,No,19.0,VIC,9,56.0,8
890,Male,73,Health,High Net Worth,No,13.0,VIC,4,45.0,5
891,Male,48,Health,Mass Customer,Yes,13.0,NSW,10,33.0,9
892,Male,89,Health,Mass Customer,Yes,19.0,NSW,10,44.0,6
893,Female,77,Manufacturing,Mass Customer,No,7.0,NSW,11,40.0,8
894,Female,52,Financial Services,Mass Customer,No,19.0,VIC,8,47.0,1
895,Male,44,Financial Services,High Net Worth,No,19.0,QLD,4,43.0,7
896,Male,33,N/A,Affluent Customer,No,13.0,NSW,10,43.0,9
897,Male,42,Manufacturing,Affluent Customer,No,16.0,NSW,4,42.0,9
898,Male,18,Telecommunications,Affluent Customer,No,10.0,NSW,8,54.0,6
899,Male,25,Financial Services,Mass Customer,Yes,18.0,VIC,8,54.0,3
900,Male,61,N/A,High Net Worth,Yes,18.0,VIC,8,47.0,8
901,Male,0,Financial Services,Mass Customer,Yes,13.0,VIC,12,55.0,5
902,Female,86,Retail,Mass Customer,Yes,8.0,NSW,6,48.0,3
903,Female,59,Manufacturing,Affluent Customer,Yes,1.0,VIC,8,21.0,5
904,Female,30,N/A,Mass Customer,No,18.0,NSW,7,31.0,6
905,Female,75,Retail,Mass Customer,Yes,5.0,NSW,9,24.0,5
906,Male,76,Manufacturing,Mass Customer,No,6.0,NSW,12,24.0,8
907,Male,76,N/A,Mass Customer,Yes,3.0,NSW,10,25.0,7
908,Male,64,Health,High Net Worth,No,3.0,VIC,2,32.0,12
909,Male,65,Manufacturing,Affluent Customer,No,15.0,NSW,8,34.0,5
910,Female,18,Retail,Mass Customer,No,7.0,VIC,7,24.0,9
911,Male,53,Manufacturing,Mass Customer,No,6.0,NSW,9,59.0,4
912,Female,3,Manufacturing,Mass Customer,No,9.0,QLD,2,33.0,5
913,Male,13,Financial Services,Affluent Customer,Yes,1.0,QLD,8,25.0,10
914,Female,31,Financial Services,Mass Customer,Yes,14.0,QLD,8,46.0,4
915,Male,94,Property,Affluent Customer,Yes,15.0,NSW,11,40.0,7
916,Female,53,Manufacturing,Mass Customer,No,15.0,VIC,3,44.0,8
917,Male,59,N/A,High Net Worth,Yes,1.0,QLD,6,22.0,7
918,Female,16,Manufacturing,High Net Worth,No,12.0,NSW,10,59.0,8
919,Female,43,Health,Mass Customer,No,10.0,VIC,7,34.0,5
920,Male,19,N/A,Affluent Customer,No,10.0,NSW,6,51.0,3
921,Male,18,Health,Mass Customer,Yes,3.0,NSW,9,45.0,6
922,Male,44,Entertainment,Mass Customer,No,1.0,NSW,9,20.0,6
923,Female,34,Financial Services,Affluent Customer,Yes,6.0,VIC,7,49.0,5
924,Female,16,N/A,Mass Customer,No,7.0,QLD,1,41.0,9
925,Male,76,Manufacturing,Mass Customer,Yes,7.0,VIC,6,25.0,4
926,Female,78,Health,Mass Customer,Yes,9.0,NSW,9,30.0,7
927,Male,19,Manufacturing,Mass Customer,Yes,9.0,NSW,12,59.0,3
928,Female,80,Manufacturing,Affluent Customer,Yes,7.0,VIC,10,26.0,5
929,Male,15,Health,High Net Worth,No,18.0,NSW,12,56.0,6
930,Female,3,N/A,Affluent Customer,Yes,21.0,NSW,9,33.0,6
931,Male,1,Health,Mass Customer,Yes,12.0,VIC,8,51.0,4
932,Female,73,Financial Services,Mass Customer,No,6.0,NSW,8,34.0,3
933,Male,49,N/A,High Net Worth,Yes,17.0,VIC,8,43.0,7
934,Female,56,N/A,High Net Worth,Yes,16.0,NSW,10,52.0,12
935,Female,35,Financial Services,High Net Worth,No,6.0,NSW,12,26.0,5
936,Female,86,Retail,High Net Worth,Yes,5.0,NSW,1,23.0,4
937,Female,70,Retail,High Net Worth,Yes,5.0,QLD,10,41.0,4
938,Female,44,Manufacturing,Affluent Customer,Yes,1.0,VIC,5,20.0,4
939,Male,96,IT,High Net Worth,Yes,16.0,NSW,6,65.0,7
940,Female,20,Health,High Net Worth,Yes,18.0,QLD,5,41.0,5
941,Female,2,Financial Services,High Net Worth,Yes,14.0,NSW,10,40.0,5
942,Male,11,Manufacturing,High Net Worth,No,22.0,VIC,7,31.0,5
943,Female,81,Retail,Mass Customer,Yes,10.0,QLD,5,39.0,2
944,Female,46,Health,High Net Worth,No,15.0,VIC,7,41.0,8
945,Female,92,N/A,Mass Customer,Yes,4.0,QLD,7,29.0,6
946,Male,10,Financial Services,Affluent Customer,No,10.0,VIC,8,48.0,6
947,Female,65,N/A,High Net Worth,Yes,13.0,NSW,7,60.0,5
948,Female,40,N/A,High Net Worth,No,15.0,NSW,1,38.0,5
949,Female,42,Manufacturing,High Net Worth,No,12.0,VIC,9,60.0,5
950,Female,19,Health,Mass Customer,No,8.0,NSW,8,42.0,5
951,Male,0,Retail,Mass Customer,No,11.0,NSW,9,47.0,7
952,Male,14,Health,High Net Worth,Yes,6.0,NSW,6,60.0,6
953,Male,89,Manufacturing,Affluent Customer,No,16.0,VIC,7,66.0,8
954,Female,29,Retail,High Net Worth,No,15.0,QLD,4,49.0,4
955,Male,3,Manufacturing,Mass Customer,Yes,8.0,QLD,3,25.0,8
956,Male,89,Financial Services,Affluent Customer,Yes,11.0,QLD,9,46.0,8
957,Female,35,Manufacturing,High Net Worth,No,7.0,QLD,6,39.0,2
958,Female,43,Financial Services,Mass Customer,No,17.0,QLD,4,38.0,5
959,Female,56,Manufacturing,Mass Customer,Yes,14.0,NSW,7,44.0,7
960,Female,11,Financial Services,Mass Customer,Yes,10.0,VIC,9,28.0,6
961,Female,6,Property,Mass Customer,Yes,8.0,VIC,9,61.0,2
962,Female,71,Argiculture,High Net Worth,No,17.0,NSW,3,43.0,9
963,Female,62,Entertainment,Affluent Customer,Yes,5.0,VIC,10,42.0,5
964,Male,16,Health,Mass Customer,Yes,19.0,QLD,5,54.0,7
965,Male,30,Telecommunications,Mass Customer,Yes,13.0,NSW,9,39.0,7
966,Female,66,Manufacturing,Affluent Customer,Yes,5.0,NSW,9,54.0,2
967,Female,12,N/A,High Net Worth,No,4.0,VIC,9,32.0,10
968,Female,44,Financial Services,Mass Customer,No,11.0,VIC,9,42.0,9
969,Male,63,Retail,Mass Customer,No,14.0,QLD,3,41.0,7
970,Male,65,N/A,Mass Customer,Yes,18.0,VIC,12,42.0,4
971,Female,35,Financial Services,High Net Worth,No,18.0,QLD,7,52.0,9
972,Male,35,IT,High Net Worth,No,22.0,VIC,6,45.0,6
973,Female,94,IT,High Net Worth,Yes,8.0,NSW,9,52.0,5
974,Male,15,Telecommunications,Affluent Customer,Yes,19.0,VIC,8,43.0,8
975,Male,58,Retail,Mass Customer,No,5.0,NSW,12,24.0,7
976,Female,47,N/A,Mass Customer,No,21.0,NSW,12,44.0,4
977,Female,16,Manufacturing,High Net Worth,Yes,13.0,QLD,9,63.0,5
978,Male,24,Financial Services,Affluent Customer,No,17.0,NSW,4,57.0,3
979,Female,42,Health,High Net Worth,Yes,10.0,NSW,9,35.0,3
980,Female,20,N/A,High Net Worth,Yes,11.0,QLD,9,65.0,4
981,Female,53,Retail,High Net Worth,No,17.0,NSW,8,44.0,6
982,Male,60,Property,Mass Customer,Yes,8.0,NSW,8,59.0,7
983,Male,7,Health,Mass Customer,No,17.0,VIC,8,65.0,6
984,Male,0,IT,Mass Customer,Yes,17.0,VIC,11,61.0,6
985,Female,88,Entertainment,High Net Worth,No,16.0,NSW,11,41.0,3
986,Male,1,Manufacturing,Mass Customer,Yes,7.0,VIC,10,25.0,5
987,Male,42,Manufacturing,Mass Customer,Yes,14.0,NSW,8,46.0,5
988,Female,29,IT,Affluent Customer,No,13.0,NSW,10,44.0,4
989,Male,16,Retail,High Net Worth,No,7.0,NSW,8,42.0,8
990,Female,56,Financial Services,Affluent Customer,Yes,14.0,NSW,10,30.0,5
991,Female,16,Financial Services,Affluent Customer,Yes,6.0,NSW,8,29.0,2
992,Female,17,Health,High Net Worth,Yes,2.0,VIC,9,28.0,8
993,Male,69,IT,Mass Customer,Yes,5.0,VIC,8,23.0,8
994,Male,66,Financial Services,Affluent Customer,No,4.0,NSW,10,26.0,6
995,Male,33,Financial Services,Affluent Customer,No,18.0,NSW,12,53.0,6
996,Male,10,N/A,High Net Worth,No,1.0,NSW,9,21.0,7
997,Male,71,N/A,Mass Customer,No,4.0,NSW,6,23.0,6
998,Female,9,Health,Mass Customer,No,5.0,VIC,7,58.0,8
999,Male,75,Manufacturing,Mass Customer,No,6.0,QLD,7,36.0,3
1000,Female,36,N/A,Mass Customer,Yes,18.0,VIC,11,42.0,8
1001,Male,70,N/A,Affluent Customer,Yes,3.0,QLD,9,25.0,9
1002,Male,16,N/A,High Net Worth,Yes,3.0,NSW,3,44.0,2
1003,Female,77,Retail,Affluent Customer,Yes,5.0,NSW,9,43.0,3
1004,Female,6,Financial Services,Mass Customer,Yes,12.0,NSW,12,50.0,5
1005,Female,95,Financial Services,Mass Customer,No,10.0,NSW,11,64.0,8
1006,Female,24,N/A,High Net Worth,Yes,15.0,NSW,4,45.0,7
1007,Female,78,Health,High Net Worth,No,9.0,QLD,8,45.0,4
1008,Male,95,Property,Affluent Customer,No,15.0,NSW,10,61.0,4
1009,Male,0,Manufacturing,High Net Worth,Yes,11.0,NSW,11,44.0,3
1010,Male,34,Financial Services,Mass Customer,Yes,16.0,QLD,7,33.0,8
1011,Female,88,Financial Services,Mass Customer,Yes,19.0,NSW,11,34.0,3
1012,Female,0,N/A,Affluent Customer,No,11.0,NSW,9,65.0,5
1013,Male,39,Financial Services,Affluent Customer,No,11.0,NSW,7,42.0,8
1014,Male,99,N/A,Affluent Customer,No,15.0,VIC,9,44.0,7
1015,Male,35,Property,Mass Customer,No,2.0,VIC,8,24.0,10
1016,Female,7,Telecommunications,Mass Customer,Yes,15.0,NSW,11,47.0,6
1017,Female,34,Property,High Net Worth,Yes,14.0,VIC,10,42.0,5
1018,Female,31,Financial Services,High Net Worth,No,3.0,VIC,11,34.0,6
1019,Male,98,Manufacturing,Mass Customer,Yes,8.0,NSW,5,58.0,3
1020,Male,27,Manufacturing,Mass Customer,Yes,13.0,NSW,11,37.0,8
1021,Female,30,Manufacturing,Mass Customer,No,12.0,NSW,10,32.0,2
1022,Male,96,Manufacturing,Affluent Customer,No,6.0,NSW,7,53.0,7
1023,Female,73,Health,Mass Customer,No,5.0,NSW,12,51.0,4
1024,Female,37,Retail,Affluent Customer,Yes,4.0,VIC,6,32.0,3
1025,Female,68,Entertainment,High Net Worth,Yes,6.0,NSW,11,52.0,2
1026,Female,88,Argiculture,Affluent Customer,Yes,13.0,NSW,11,58.0,6
1027,Male,34,Financial Services,Mass Customer,No,19.0,NSW,12,31.0,6
1028,Female,32,N/A,Mass Customer,No,14.0,NSW,11,44.0,6
1029,Male,22,Financial Services,Affluent Customer,Yes,13.0,NSW,10,33.0,6
1030,Male,3,Entertainment,Affluent Customer,Yes,8.0,NSW,8,43.0,3
1031,Male,8,Financial Services,Mass Customer,Yes,8.0,NSW,9,58.0,6
1032,Male,45,Telecommunications,High Net Worth,No,12.0,VIC,10,24.0,3
1033,Female,13,Financial Services,Mass Customer,Yes,13.0,NSW,9,55.0,2
1034,Male,5,Health,Mass Customer,Yes,3.0,NSW,8,25.0,14
1035,Male,85,Telecommunications,Mass Customer,No,15.0,QLD,7,44.0,5
1036,Male,5,N/A,Mass Customer,No,1.0,QLD,4,25.0,4
1037,Male,68,Retail,High Net Worth,No,1.0,NSW,7,33.0,6
1038,Male,60,Financial Services,High Net Worth,Yes,8.0,NSW,3,63.0,3
1039,Female,77,N/A,Affluent Customer,Yes,7.0,NSW,10,40.0,6
1040,Male,43,N/A,High Net Worth,Yes,18.0,NSW,3,46.0,8
1041,Male,26,Manufacturing,High Net Worth,No,7.0,NSW,1,53.0,6
1042,Male,33,Health,Affluent Customer,No,2.0,NSW,9,20.0,12
1043,Female,8,Telecommunications,Mass Customer,Yes,18.0,QLD,7,64.0,6
1044,Male,69,Manufacturing,Mass Customer,No,20.0,NSW,9,44.0,5
1045,Male,70,Manufacturing,Mass Customer,No,18.0,NSW,9,42.0,4
1046,Female,70,Property,Mass Customer,Yes,2.0,QLD,9,20.0,3
1047,Female,25,Health,Mass Customer,No,16.0,NSW,8,34.0,5
1048,Male,46,N/A,Affluent Customer,No,1.0,QLD,8,24.0,2
1049,Female,54,Retail,Affluent Customer,No,8.0,NSW,4,26.0,11
1050,Male,4,Health,Mass Customer,No,8.0,QLD,7,44.0,4
1051,Male,84,Property,Mass Customer,Yes,4.0,VIC,9,31.0,9
1052,Female,39,Financial Services,Mass Customer,Yes,8.0,VIC,5,40.0,3
1053,Female,19,N/A,High Net Worth,Yes,3.0,VIC,9,31.0,6
1054,Female,90,Property,Affluent Customer,No,12.0,VIC,9,31.0,7
1055,Female,15,Telecommunications,Affluent Customer,No,17.0,NSW,11,45.0,7
1056,Male,19,Health,Mass Customer,No,15.0,VIC,7,40.0,10
1057,Female,56,Retail,Mass Customer,No,5.0,VIC,3,85.0,5
1058,Female,63,N/A,Affluent Customer,No,5.0,NSW,10,23.0,9
1059,Male,48,Health,High Net Worth,No,19.0,QLD,7,44.0,7
1060,Female,2,Health,Mass Customer,No,6.0,NSW,9,62.0,4
1061,Male,33,Health,High Net Worth,No,14.0,NSW,9,50.0,5
1062,Female,71,Financial Services,Mass Customer,Yes,18.0,NSW,8,52.0,3
1063,Female,99,Financial Services,Mass Customer,Yes,12.0,NSW,9,31.0,8
1064,Male,12,Manufacturing,Affluent Customer,Yes,11.0,NSW,8,45.0,2
1065,Male,59,Manufacturing,Mass Customer,No,15.0,QLD,3,37.0,3
1066,Female,76,N/A,Mass Customer,No,15.0,NSW,11,51.0,5
1067,Female,16,Manufacturing,Affluent Customer,No,15.0,NSW,3,44.0,8
1068,Female,76,Financial Services,High Net Worth,Yes,20.0,NSW,10,42.0,12
1069,Female,82,Retail,Mass Customer,No,8.0,NSW,6,60.0,7
1070,Male,39,N/A,Mass Customer,No,18.0,NSW,4,30.0,2
1071,Female,2,Retail,Mass Customer,No,15.0,VIC,11,57.0,9
1072,Female,70,Health,High Net Worth,No,18.0,NSW,9,46.0,6
1073,Female,86,Health,Mass Customer,No,17.0,NSW,5,58.0,4
1074,Male,21,Entertainment,High Net Worth,No,6.0,VIC,9,31.0,3
1075,Male,73,Retail,High Net Worth,No,12.0,VIC,7,29.0,6
1076,Male,96,N/A,High Net Worth,Yes,18.0,VIC,6,60.0,7
1077,Male,25,N/A,Mass Customer,Yes,13.0,NSW,11,39.0,3
1078,Male,45,Property,Mass Customer,No,6.0,NSW,12,28.0,9
1079,Female,96,Retail,Mass Customer,No,14.0,QLD,7,44.0,4
1080,Female,33,N/A,High Net Worth,Yes,17.0,NSW,10,50.0,9
1081,Female,59,Health,Mass Customer,Yes,16.0,NSW,9,46.0,3
1082,Female,83,N/A,Affluent Customer,No,14.0,NSW,9,44.0,10
1083,Female,95,Retail,Mass Customer,Yes,9.0,NSW,8,44.0,4
1084,Male,43,Entertainment,Mass Customer,Yes,19.0,NSW,11,43.0,7
1085,Female,87,Retail,Affluent Customer,No,12.0,NSW,9,40.0,6
1086,Female,30,Health,Mass Customer,Yes,3.0,NSW,11,36.0,2
1087,Female,59,N/A,Mass Customer,No,11.0,VIC,8,34.0,5
1088,Male,50,Property,Mass Customer,No,13.0,NSW,7,58.0,5
1089,Male,36,Health,Affluent Customer,Yes,9.0,NSW,11,55.0,3
1090,Male,25,IT,Affluent Customer,No,9.0,NSW,9,30.0,5
1091,Female,77,N/A,Mass Customer,No,14.0,VIC,11,46.0,4
1092,Female,30,Financial Services,Mass Customer,No,8.0,NSW,10,29.0,4
1093,Female,47,Financial Services,Mass Customer,Yes,8.0,QLD,4,28.0,5
1094,Male,2,Entertainment,Mass Customer,Yes,9.0,QLD,8,43.0,13
1095,Female,90,N/A,Mass Customer,No,16.0,NSW,12,55.0,5
1096,Male,16,N/A,Mass Customer,No,15.0,QLD,3,64.0,8
1097,Female,99,Financial Services,Affluent Customer,Yes,9.0,VIC,7,35.0,9
1098,Male,88,Manufacturing,Affluent Customer,No,6.0,QLD,4,52.0,7
1099,Male,22,Financial Services,Affluent Customer,No,3.0,NSW,11,25.0,7
1100,Female,60,Financial Services,Mass Customer,Yes,11.0,NSW,6,40.0,3
1101,Male,72,Property,High Net Worth,No,7.0,NSW,9,43.0,6
1102,Male,46,N/A,Mass Customer,No,18.0,VIC,3,43.0,9
1103,Female,77,Retail,Mass Customer,Yes,5.0,QLD,6,28.0,6
1104,Male,52,Manufacturing,Mass Customer,Yes,16.0,QLD,2,37.0,4
1105,Female,32,N/A,Mass Customer,Yes,13.0,NSW,10,34.0,13
1106,Female,70,Financial Services,High Net Worth,Yes,4.0,VIC,11,38.0,5
1107,Male,95,Telecommunications,Mass Customer,No,2.0,NSW,9,22.0,4
1108,Male,64,Health,Mass Customer,Yes,6.0,NSW,5,65.0,5
1109,Male,73,Health,High Net Worth,Yes,5.0,NSW,9,23.0,7
1110,Female,80,Property,Mass Customer,Yes,14.0,VIC,10,54.0,2
1111,Male,88,Financial Services,High Net Worth,No,8.0,VIC,4,28.0,2
1112,Male,71,Entertainment,High Net Worth,Yes,9.0,NSW,9,52.0,6
1113,Male,60,Financial Services,High Net Worth,No,5.0,NSW,5,32.0,3
1114,Female,29,N/A,Affluent Customer,Yes,14.0,NSW,7,52.0,4
1115,Female,64,Financial Services,Mass Customer,Yes,13.0,QLD,4,44.0,5
1116,Female,27,Argiculture,High Net Worth,Yes,19.0,NSW,9,55.0,5
1117,Male,47,Financial Services,Mass Customer,Yes,3.0,QLD,10,22.0,8
1118,Female,53,Health,Mass Customer,Yes,3.0,QLD,4,25.0,5
1119,Male,26,Health,Mass Customer,Yes,20.0,NSW,11,45.0,6
1120,Female,73,Property,Mass Customer,Yes,9.0,NSW,1,26.0,7
1121,Female,22,Argiculture,Mass Customer,Yes,1.0,QLD,3,22.0,4
1122,Male,69,Health,Affluent Customer,Yes,17.0,NSW,12,46.0,7
1123,Male,85,N/A,Mass Customer,Yes,19.0,VIC,4,35.0,7
1124,Male,94,Entertainment,Mass Customer,No,1.0,VIC,8,27.0,4
1125,Female,98,IT,Affluent Customer,No,10.0,NSW,7,55.0,3
1126,Female,86,Retail,Mass Customer,No,15.0,QLD,7,43.0,4
1127,Male,29,N/A,Mass Customer,Yes,7.0,VIC,10,30.0,4
1128,Male,77,Financial Services,High Net Worth,Yes,8.0,VIC,9,38.0,5
1129,Female,97,Health,Mass Customer,Yes,17.0,VIC,9,43.0,3
1130,Female,58,Financial Services,High Net Worth,No,2.0,NSW,1,27.0,9
1131,Female,40,Health,Affluent Customer,No,8.0,NSW,8,47.0,6
1132,Female,20,Health,Mass Customer,No,4.0,QLD,6,24.0,4
1133,Male,44,Health,Affluent Customer,No,18.0,VIC,8,55.0,7
1134,Female,33,Financial Services,Mass Customer,Yes,13.0,NSW,10,53.0,7
1135,Female,62,IT,Mass Customer,Yes,4.0,QLD,9,55.0,5
1136,Female,32,N/A,Affluent Customer,Yes,8.0,QLD,8,49.0,9
1137,Male,48,N/A,Mass Customer,Yes,17.0,NSW,9,46.0,5
1138,Female,58,Retail,High Net Worth,No,16.0,NSW,7,42.0,3
1139,Male,8,N/A,Mass Customer,No,8.0,NSW,9,34.0,2
1140,Female,7,N/A,Affluent Customer,Yes,7.0,NSW,9,44.0,4
1141,Female,47,Health,Affluent Customer,Yes,6.0,NSW,8,67.0,8
1142,Male,1,Health,Mass Customer,No,13.0,NSW,9,50.0,8
1143,Male,56,Financial Services,High Net Worth,Yes,13.0,QLD,8,32.0,4
1144,Female,48,Financial Services,Affluent Customer,No,10.0,NSW,8,45.0,4
1145,Female,2,Argiculture,Mass Customer,No,8.0,QLD,8,42.0,10
1146,Female,84,IT,Mass Customer,Yes,7.0,NSW,3,45.0,7
1147,Male,50,N/A,Affluent Customer,No,6.0,VIC,6,61.0,5
1148,Female,89,Health,Mass Customer,No,13.0,NSW,9,51.0,6
1149,Female,17,N/A,Mass Customer,Yes,2.0,NSW,10,20.0,3
1150,Male,70,Manufacturing,Affluent Customer,Yes,20.0,NSW,10,43.0,6
1151,Male,65,Financial Services,Mass Customer,No,1.0,VIC,1,21.0,4
1152,Female,14,N/A,Affluent Customer,Yes,4.0,NSW,11,36.0,2
1153,Male,22,Health,High Net Worth,Yes,8.0,VIC,9,32.0,4
1154,Female,67,Financial Services,Affluent Customer,Yes,10.0,NSW,2,52.0,6
1155,Female,20,N/A,Mass Customer,Yes,1.0,NSW,10,24.0,8
1156,Female,31,Manufacturing,Mass Customer,No,16.0,NSW,9,50.0,5
1157,Male,58,Retail,High Net Worth,No,5.0,NSW,5,34.0,4
1158,Female,69,Telecommunications,Affluent Customer,No,3.0,QLD,4,28.0,8
1159,Female,0,Telecommunications,Mass Customer,No,18.0,VIC,8,42.0,5
1160,Female,23,Health,Mass Customer,No,2.0,NSW,10,22.0,6
1161,Female,44,Financial Services,High Net Worth,Yes,5.0,NSW,8,22.0,4
1162,Female,73,Retail,High Net Worth,No,7.0,NSW,1,46.0,6
1163,Male,7,Financial Services,Affluent Customer,Yes,5.0,NSW,7,62.0,8
1164,Female,38,Entertainment,High Net Worth,No,18.0,QLD,3,46.0,9
1165,Female,42,Manufacturing,Mass Customer,No,10.0,NSW,9,64.0,3
1166,Male,90,Retail,Mass Customer,Yes,8.0,NSW,10,28.0,3
1167,Female,38,Health,Affluent Customer,No,22.0,QLD,6,32.0,1
1168,Female,12,Manufacturing,Affluent Customer,Yes,16.0,NSW,10,49.0,2
1169,Male,38,Manufacturing,Affluent Customer,No,13.0,NSW,10,42.0,9
1170,Female,13,Financial Services,Mass Customer,No,13.0,VIC,5,42.0,2
1171,Female,30,Health,Mass Customer,No,1.0,NSW,4,22.0,7
1172,Female,23,Financial Services,Mass Customer,No,15.0,NSW,10,36.0,5
1173,Male,40,Property,High Net Worth,Yes,11.0,VIC,9,43.0,2
1174,Male,45,Financial Services,Affluent Customer,Yes,14.0,NSW,8,42.0,4
1175,Female,28,Property,Affluent Customer,No,13.0,NSW,9,51.0,3
1176,Male,80,N/A,High Net Worth,No,15.0,VIC,10,46.0,7
1177,Male,0,Property,High Net Worth,No,15.0,NSW,11,31.0,4
1178,Female,79,Manufacturing,Mass Customer,No,11.0,NSW,10,53.0,8
1179,Female,15,Telecommunications,Affluent Customer,Yes,10.0,VIC,7,61.0,4
1180,Female,67,Manufacturing,High Net Worth,No,16.0,NSW,4,52.0,7
1181,Female,12,N/A,Mass Customer,Yes,7.0,VIC,7,38.0,6
1182,Male,93,Financial Services,Mass Customer,No,14.0,VIC,4,48.0,3
1183,Male,12,N/A,High Net Worth,No,14.0,VIC,7,33.0,5
1184,Male,75,Health,High Net Worth,Yes,14.0,NSW,9,24.0,7
1185,Female,83,Property,Mass Customer,No,19.0,VIC,9,49.0,3
1186,Female,19,Manufacturing,Mass Customer,Yes,16.0,NSW,7,55.0,8
1187,Female,9,Manufacturing,Mass Customer,No,16.0,NSW,6,43.0,8
1188,Male,5,Health,Mass Customer,Yes,10.0,VIC,10,32.0,4
1189,Female,32,Health,Mass Customer,Yes,13.0,VIC,7,39.0,5
1190,Female,63,IT,Affluent Customer,Yes,12.0,NSW,7,30.0,12
1191,Female,43,Financial Services,Affluent Customer,No,6.0,NSW,4,58.0,4
1192,Male,38,Manufacturing,Affluent Customer,Yes,1.0,NSW,11,20.0,9
1193,Male,61,Financial Services,Mass Customer,Yes,10.0,NSW,9,35.0,2
1194,Female,94,Health,Affluent Customer,No,18.0,NSW,10,47.0,2
1195,Male,83,Property,Affluent Customer,No,20.0,QLD,8,60.0,9
1196,Female,17,Retail,Affluent Customer,Yes,16.0,NSW,11,42.0,9
1197,Male,87,N/A,Mass Customer,No,17.0,NSW,9,55.0,8
1198,Female,24,Health,Mass Customer,No,9.0,NSW,2,51.0,3
1199,Male,75,Financial Services,High Net Worth,Yes,18.0,VIC,7,46.0,5
1200,Female,6,Health,High Net Worth,No,16.0,VIC,4,50.0,11
1201,Male,24,N/A,Affluent Customer,Yes,6.0,VIC,5,42.0,5
1202,Male,9,N/A,Mass Customer,Yes,17.0,QLD,7,42.0,7
1203,Female,64,Manufacturing,Mass Customer,Yes,19.0,NSW,8,55.0,4
1204,Female,23,Health,Affluent Customer,Yes,11.0,NSW,9,34.0,7
1205,Male,36,Property,High Net Worth,Yes,18.0,VIC,7,47.0,3
1206,Male,73,Retail,Mass Customer,No,8.0,NSW,11,67.0,10
1207,Male,34,Manufacturing,Affluent Customer,No,1.0,NSW,10,26.0,7
1208,Male,94,N/A,High Net Worth,No,6.0,QLD,2,27.0,2
1209,Female,15,Entertainment,Affluent Customer,No,11.0,QLD,1,59.0,4
